Freq.	V(vinter)/(V(vinn)-V(vinp))	V(vout)/(V(vinp)-V(vinn))	V(vout)/V(vinter)
2.81838293126442e+009	(-6.46855968090723e+000dB,-9.55228549236460e+001°)	(-2.63869134709238e+001dB,1.71280335434721e+002°)	(-1.99183537900165e+001dB,8.68031903583671e+001°)
3.16227766016835e+009	(-7.68819271968277e+000dB,-9.69729254781702e+001°)	(-2.86004085697391e+001dB,1.69308814197037e+002°)	(-2.09122158500564e+001dB,8.62817396752074e+001°)
3.54813389233572e+009	(-8.89756588114705e+000dB,-9.81478263662092e+001°)	(-3.08026622816623e+001dB,1.67563570400052e+002°)	(-2.19050964005153e+001dB,8.57113967662612e+001°)
3.98107170553493e+009	(-1.00902952567107e+001dB,-9.91043641897180e+001°)	(-3.29869189155953e+001dB,1.65980719988622e+002°)	(-2.28966236588846e+001dB,8.50850841783398e+001°)
4.46683592150958e+009	(-1.12621944407237e+001dB,-9.99019432029294e+001°)	(-3.51485475837416e+001dB,1.64493131690272e+002°)	(-2.38863531430179e+001dB,8.43950748932017e+001°)
5.01187233627267e+009	(-1.24110113856234e+001dB,-1.00598320782572e+002°)	(-3.72847592518635e+001dB,1.63034629904992e+002°)	(-2.48737478662401e+001dB,8.36329506875641e+001°)
5.62341325190343e+009	(-1.35360029864384e+001dB,-1.01246687994587e+002°)	(-3.93941573766286e+001dB,1.61542885704662e+002°)	(-2.58581543901902e+001dB,8.27895736992490e+001°)
6.30957344480186e+009	(-1.46374552725890e+001dB,-1.01894121259085e+002°)	(-4.14762292443711e+001dB,1.59960956271967e+002°)	(-2.68387739717821e+001dB,8.18550775310520e+001°)
7.07945784384130e+009	(-1.57162290553420e+001dB,-1.02581165023529e+002°)	(-4.35308573046938e+001dB,1.58237721939496e+002°)	(-2.78146282493517e+001dB,8.08188869630250e+001°)
7.94328234724273e+009	(-1.67733753855611e+001dB,-1.03342184947928e+002°)	(-4.55578945814097e+001dB,1.56327594157626e+002°)	(-2.87845191958486e+001dB,7.96697791055545e+001°)
8.91250938133735e+009	(-1.78098351934574e+001dB,-1.04206134464610e+002°)	(-4.75568186918339e+001dB,1.54189868751390e+002°)	(-2.97469834983765e+001dB,7.83960032159999e+001°)
9.99999999999989e+009	(-1.88262181245922e+001dB,-1.05197445335486e+002°)	(-4.95264603488305e+001dB,1.51788035639066e+002°)	(-3.07002422242383e+001dB,7.69854809745523e+001°)
1.12201845430195e+010	(-1.98226465291706e+001dB,-1.06336837516975e+002°)	(-5.14647942738644e+001dB,1.49089275575358e+002°)	(-3.16421477446938e+001dB,7.54261130923329e+001°)
1.25892541179415e+010	(-2.07986491088338e+001dB,-1.07641918501567e+002°)	(-5.33687806491444e+001dB,1.46064302039263e+002°)	(-3.25701315403107e+001dB,7.37062205408304e+001°)
1.41253754462274e+010	(-2.17530919236197e+001dB,-1.09127498234248e+002°)	(-5.52342507057130e+001dB,1.42687649275944e+002°)	(-3.34811587820933e+001dB,7.18151475101920e+001°)
1.58489319246109e+010	(-2.26841400191419e+001dB,-1.10805584739530e+002°)	(-5.70558384300602e+001dB,1.38938460826169e+002°)	(-3.43716984109183e+001dB,6.97440455656985e+001°)
